   1,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_001.png', cX=  37, cY= 225, Frame=   150
   1,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_002.png', cX=  37, cY= 226, Frame=   151
   1,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_003.png', cX=  37, cY= 226, Frame=   152
   1,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_004.png', cX=  37, cY= 226, Frame=   153
   1,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_005.png', cX=  37, cY= 226, Frame=   154
   1,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_006.png', cX=  37, cY= 226, Frame=   155
   1,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_007.png', cX=  37, cY= 226, Frame=   156
   1,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_008.png', cX=  37, cY= 225, Frame=   157
   1,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_009.png', cX=  37, cY= 225, Frame=   158
   1,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_010.png', cX=  37, cY= 226, Frame=   159
   1,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_011.png', cX=  37, cY= 226, Frame=   160
   1,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_012.png', cX=  37, cY= 226, Frame=   161
   1,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_013.png', cX=  37, cY= 226, Frame=   162
   1,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_014.png', cX=  37, cY= 225, Frame=   163
   1,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_015.png', cX=  37, cY= 226, Frame=   164
   1,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_016.png', cX=  37, cY= 226, Frame=   165
   1,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_017.png', cX=  37, cY= 226, Frame=   166
   1,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_018.png', cX=  37, cY= 226, Frame=   167
